repository_language,month,commits
M,2014-03-01,894
Slash,2014-03-01,353
XC,2014-03-01,248
Arc,2014-03-01,109
Vala,2014-03-01,2757
Rust,2014-03-01,17392
TeX,2014-03-01,54779
Puppet,2014-03-01,23143
PowerShell,2014-03-01,6784
ooc,2014-03-01,75
Scilab,2014-03-01,193
Idris,2014-03-01,148
Clojure,2014-03-01,31424
CoffeeScript,2014-03-01,85357
Erlang,2014-03-01,19785
Haskell,2014-03-01,36710
Monkey,2014-03-01,139
Dylan,2014-03-01,317
VimL,2014-03-01,62718
Julia,2014-03-01,13564
Boo,2014-03-01,119
R,2014-03-01,53197
D,2014-03-01,11402
Assembly,2014-03-01,9024
Shell,2014-03-01,245543
Squirrel,2014-03-01,283
Python,2014-03-01,900103
JavaScript,2014-03-01,1784465
Ruby,2014-03-01,749703
